Role,Company,Location,Duration,Posted,Skills,Applicants,est_stipend,Gender
Video Making/Editing,Zeta India,Bangalore,6 Months,3 weeks ago,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing",31,15000,Any
Finance,IREED Academy India Pvt. Ltd.,Gurgaon,3 Months,3 weeks ago,"Accounting, Cash Flow Management, English Proficiency (Spoken), English Proficiency (Written), Finance, Financial Modeling, Financial planning, Market Analysis, MS-Excel, MS-Office",1000,11000,Any
Customer Support,Mahindra Logistics Ltd.,Mumbai,6 Months,3 weeks ago,"Analytical Thinking, Data Analysis, Effective Communication, Employment engagement, Google Sheets, MS-Excel, Problem Solving, Research and Analytics, Time Management",1000,20000,Any
HR,Mahindra Logistics Ltd.,Mumbai,12 Months,3 weeks ago,"Attention to Detail, Data Analysis, Employment engagement, MS-Excel, Pivot Table, Research and Analytics, Team Management, VLOOKUP",1000,22500,Any
Operations,Mahindra Logistics Ltd.,Mumbai,6 Months,3 weeks ago,"Analytical Thinking, Attention to Detail, Data Analysis, Data Analytics, Effective Communication, Google Sheets, MS-Excel, Problem Solving, Time Management",1000,20000,Any
Operations,Mahindra Logistics Ltd.,Delhi,6 Months,3 weeks ago,"Analytical Thinking, Attention to Detail, Data Analysis, Data Analytics, Effective Communication, Google Sheets, MS-Excel, Problem Solving, Time Management",1000,20000,Any
Operations,Mahindra Logistics Ltd.,Mumbai,6 Months,3 weeks ago,"Adaptability, Analytical Thinking, Data Analysis, Effective Communication, Employment engagement, MS-Excel, Problem Solving, Research and Analytics, Stakeholder Management",1000,20000,Any
Operations,Mahindra Logistics Ltd.,Delhi,6 Months,3 weeks ago,"Adaptability, Analytical Thinking, Data Analysis, Effective Communication, Employment engagement, MS-Excel, Problem Solving, Research and Analytics, Stakeholder Management",1000,20000,Any
Sales,Cook N Klean,WFH,2 Months,3 weeks ago,"Adaptability, Effective Communication, Problem Solving, Sales Management, Time Management",1000,9000,Any
Sales,Unacademy (Sorting Hat Technologies Pvt. Ltd.),Bangalore,3 Months,3 weeks ago,"English Proficiency (Spoken), Hindi Proficiency (Spoken)",56,19000,Any
Sales,Aditya Birla Fashion & Retail Ltd. (ABFRL),Navi Mumbai,6 Months,3 weeks ago,Sales,35,15000,Any
Sales,Aditya Birla Fashion & Retail Ltd. (ABFRL),Panvel,6 Months,3 weeks ago,Sales,35,15000,Any
Sales,Reckitt,Bangalore,2 Months,3 weeks ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Power BI",111,5000,Any
Mechanical Engineering,Theobroma Foods Pvt. Ltd.,Mumbai,6 Months,3 weeks ago,Maintenance,299,2250,Any
Sales,BrightCHAMPS,WFH,6 Months,3 weeks ago,"Cold Calling, Effective Communication",1000,20000,Any
Talent Acquisition,P&M,Gurgaon,6 Months,3 weeks ago,English Proficiency (Spoken),1000,21500,Any
Marketing,Leeford Healthcare Ltd.,Ludhiana,3 Months,3 weeks ago,"Digital Marketing, Facebook Marketing, Social Media Marketing",47,17500,Any
Marketing,Times Internet,Noida,6 Months,3 weeks ago,Marketing,285,9500,Any
Marketing,WWF-India,Bangalore,5 Months,3 weeks ago,"Community Management, Coordination, Event Management, Interpersonal skills, Marketing",0,10000,Any
Market Research,Futurionic Pvt. Ltd.,WFH,6 Months,3 weeks ago,"Effective Communication, MS-Office, MS-PowerPoint, Research and Analytics, Time Management",1000,5000,Any
Graphic Design,L.E.K. Consulting LLC,Gurgaon,6 Months,3 weeks ago,"Adobe Photoshop, Canva, MS-PowerPoint",799,17000,Any
Graphic Design,CollegeDekho.com,Gurgaon,3 Months,3 weeks ago,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, CorelDRAW, Video Editing",538,10000,Any
Marketing,Times Internet,Delhi,6 Months,3 weeks ago,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",679,12500,Any
Law/Legal,VIVEK SHEEL,Delhi,2 Months,2 days ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word",89,15000,Any
Sales,ADORE,Kolkata,6 Months,Just now,English Proficiency (Spoken),0,4000,Any
Marketing,Digital ROI,Pune,6 Months,Just now,"English Proficiency (Spoken), Market Analysis, Marketing Strategies , Market research, Research and Analytics",0,13000,Any
Sales,Lime Learn Eduserv Pvt. Ltd.,Pune,2 Months,Few hours ago,"Effective Communication, Interpersonal skills, Sales, Sales Management, Sales Strategy",0,11500,Any
Marketing,Tring,Thane,3 Months,Just now,"Content Writing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Social Media Marketing",0,12500,Any
Marketing,Tring,Navi Mumbai,3 Months,Just now,"Content Writing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Social Media Marketing",0,12500,Any
Marketing,Tring,Mumbai,3 Months,Just now,"Content Writing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Social Media Marketing",0,12500,Any
Marketing,Tring,Panvel,3 Months,Just now,"Content Writing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Social Media Marketing",0,12500,Any
Content Creation,Fitkin,Delhi,3 Months,Few hours ago,"Capcut, Videography, Video Making",0,12500,Any
Fashion,APSK Production & Entertainment Pvt. Ltd.,Lucknow,3 Months,Just now,"Adobe Illustrator, Adobe Photoshop, Color Theory, CorelDRAW, Fashion Designing, Fashion Styling",0,7500,Any
Sales,Praxis,Chennai,6 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",0,11500,Any
Marketing,Magica Labs,Kolkata,6 Months,5 days ago,English Proficiency (Spoken),33,4500,Any
Data Entry,MJMA IMPEX PRIVATE LIMITED,Hyderabad,3 Months,Few hours ago,MS-Excel,33,20000,Any
Computer Operator,SANNA CAPITAL PRIVATE LIMITED,Hyderabad,2 Months,Few hours ago,"MS-Excel, MS-Office",0,22000,Any
Computer Operator,SANNA CAPITAL PRIVATE LIMITED,Secundrabad,2 Months,Few hours ago,"MS-Excel, MS-Office",0,22000,Any
Sales,Nexcel Consultancy Pvt. Ltd.,Dombivli,3 Months,Few hours ago,"Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), LinkedIn Marketing, MS-Excel, Sales, Social Media Marketing",0,9000,Any
Computer Operator,Cherag Traders,Hyderabad,3 Months,Few hours ago,MS-Office,0,22000,Any
Computer Operator,Cherag Traders,Secundrabad,3 Months,Few hours ago,MS-Office,0,22000,Any
Graphic Design,AskMyGuru.live,Bangalore,2 Months,Few hours ago,"Canva, Content Editing, Motion Graphics",0,16500,Any
Web Development,FutureYield Capital,Pune,1 Month,Few hours ago,"Adobe XD, CSS, Figma, HTML, JavaScript, REST API",54,20000,Any
HR,Indika AI Pvt. Ltd.,Delhi,3 Months,Just now,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word",0,7000,Any
HR,Scalar Tech Media Pvt. Ltd.,Mumbai,3 Months,Few hours ago,"English Proficiency (Spoken), Leadership, MS-Office, MS-Word, Team Management",0,8000,Any
Marketing,Talview,Bangalore,3 Months,Few hours ago,"Canva, ChatGPT",0,12500,Any
Marketing,The Affordable Organic Store,Bangalore,6 Months,Few hours ago,"Artificial intelligence, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",0,11000,Any
Content Writing,CATKing Educare,Mumbai,3 Months,Few hours ago,"Canva, English Proficiency (Spoken), English Proficiency (Written), Research and Analytics, Script Writing",0,6500,Any
Customer Support,Bharti Axa Life Insurance Company Ltd.,Aurangabad,6 Months,Just now,Sales,0,12500,Any
Customer Support,Bharti Axa Life Insurance Company Ltd.,Indore,6 Months,Just now,Sales,0,12500,Any
Customer Support,Bharti Axa Life Insurance Company Ltd.,Kolhapur,6 Months,Just now,Sales,0,12500,Any
Customer Support,Bharti Axa Life Insurance Company Ltd.,Bhopal,6 Months,Just now,Sales,0,12500,Any
Customer Support,Bharti Axa Life Insurance Company Ltd.,Mumbai,6 Months,Just now,Sales,0,12500,Any
Marketing,Ketto Online Ventures Pvt. Ltd.,Mumbai,4 Months,Just now,"Digital Marketing, Social Media Marketing",0,15000,Any
Marketing,CATKing Educare,Mumbai,3 Months,Few hours ago,"Content Writing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Search Engine Optimization (SEO), Social Media Marketing",0,4000,Any
Sales,EduVeda Academy,West,6 Months,Just now,"Client Relationship Management (CRM), Effective Communication, Sales Management",0,25000,Any
Sales,Tripple One Solutions,Noida,2 Months,Just now,"Counseling, English Proficiency (Spoken), English Proficiency (Written), Marketing, MS-Excel, Sales, Sales Strategy",26,30000,Any
Outreach,Jainam Jivika Foundation,Chennai,3 Months,Just now,"Effective Communication, Field Work, Interpersonal skills",0,6500,Any
Outreach,Jainam Jivika Foundation,Delhi,3 Months,Just now,"Effective Communication, Field Work, Interpersonal skills",0,6500,Any
Outreach,Jainam Jivika Foundation,Gurgaon,3 Months,Just now,"Effective Communication, Field Work, Interpersonal skills",0,6500,Any
Outreach,Jainam Jivika Foundation,Indore,3 Months,Just now,"Effective Communication, Field Work, Interpersonal skills",0,6500,Any
Outreach,Jainam Jivika Foundation,Kolkata,3 Months,Just now,"Effective Communication, Field Work, Interpersonal skills",0,6500,Any
Outreach,Jainam Jivika Foundation,Pune,3 Months,Just now,"Effective Communication, Field Work, Interpersonal skills",0,6500,Any
Outreach,Jainam Jivika Foundation,Hyderabad,3 Months,Just now,"Effective Communication, Field Work, Interpersonal skills",0,6500,Any
Outreach,Jainam Jivika Foundation,Jaipur,3 Months,Just now,"Effective Communication, Field Work, Interpersonal skills",0,6500,Any
Sales,FinWin India Consulting,Chandigarh,6 Months,Just now,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, Zoom",0,7500,Any
Sales,FinWin India Consulting,Delhi,6 Months,Just now,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, Zoom",0,7500,Any
Sales,FinWin India Consulting,Gurgaon,6 Months,Just now,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, Zoom",0,7500,Any
Sales,FinWin India Consulting,Jalandhar,6 Months,Just now,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, Zoom",0,7500,Any
Sales,FinWin India Consulting,Ludhiana,6 Months,Just now,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, Zoom",0,7500,Any
Sales,FinWin India Consulting,Noida,6 Months,Just now,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, Zoom",0,7500,Any
Marketing,Platform 3 Solutions,Bangalore,4 Months,2 days ago,"English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Social Media Marketing",61,15500,Any
Content Creation,Ayurveda House Pvt. Ltd.,Delhi,3 Months,Just now,"Acting technique, Video Making",0,9000,Any
Analytics,ABEX Excellence Pvt. Ltd.,Chennai,3 Months,Few hours ago,"English Proficiency (Written), MS-Excel, Research and Analytics",50,37500,Any
Analytics,Techdome Solutions Pvt. Ltd.,Indore,6 Months,Few hours ago,"Machine Learning, Quality Assurance/Quality Control (QA/QC), Quantity Survey (QS)",0,12500,Any
