Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Company Secretary (CS),Motherhood Hospital,Bangalore,"₹ 10,000 - 13,000 /month",24 Months,3 weeks ago,,"Financial Reporting
GST",Be an early applicant
Business Development (Sales),ILux Electricals,Thane                                                                (Hybrid),"₹ 7,000 - 15,000 /month",3 Months,3 weeks ago,,"Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Social Media Marketing",59 applicants
Legal Research,CollegeDekho.com,Gurgaon,Unpaid,2 Months,3 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Word",818 applicants
Inside Sales,Unacademy (Sorting Hat Technologies Private Limited),Bangalore,"₹ 18,000 - 20,000 /month",3 Months,3 weeks ago,,"Effective Communication
English Proficiency (Spoken)
Hindi Proficiency (Spoken)
Sales",58 applicants
Sales,Halma,Mumbai,"₹ 10,000 /month",6 Months,3 weeks ago,,"Effective Communication
Interpersonal skills
MS-Excel",80 applicants
Human Resources (HR),Audi Mumbai West,Mumbai,"₹ 12,000 /month",6 Months,3 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word
Time Management",1000+ applicants
Video Editing/Making,Zeta India,Bangalore,"₹ 15,000 /month",6 Months,3 weeks ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Video Editing",31 applicants
Finance,IREED Academy India Private Limited,Gurgaon,"₹ 10,000 - 12,000 /month",3 Months,3 weeks ago,,"Accounting
Cash Flow Management
English Proficiency (Spoken)
English Proficiency (Written)
Finance
Financial Modeling
Financial planning
Market Analysis
MS-Excel
MS-Office",1000+ applicants
Compute Platform Engineer,Corteva Agriscience,Work from home,"₹ 35,000 /month",6 Months,3 weeks ago,,"Amazon Web Services (AWS)
Google Cloud Platforms (GCP)
Grafana
Kubernetes
Terraform",1000+ applicants
Customer Service Executive,Mahindra Logistics Limited,Mumbai,"₹ 20,000 /month",6 Months,3 weeks ago,,"Analytical Thinking
Data Analysis
Effective Communication
Employment engagement
Google Sheets
MS-Excel
Problem Solving
Research and Analytics
Time Management",1000+ applicants
HR Information Systems,Mahindra Logistics Limited,Mumbai,"₹ 20,000 - 25,000 /month",12 Months,3 weeks ago,,"Attention to Detail
Data Analysis
Employment engagement
MS-Excel
Pivot Table
Research and Analytics
Team Management
VLOOKUP",1000+ applicants
